Source,Bias1,Bias2,Bias3,Bias4,Avg Bias,Stdv Avg,3 month traffic (000),Monthly traffic (000),monthly unique traffic (000),Desktop,Mobile,Duration (seconds),pages,bounce,label,rank
CNN,-37,-63,-40,-27,-41.7,13.4,"2,533,000","844,300","201,100",41,59,228,2.06,56,Lib,1
Google News,,-40,-40,-13,-31.1,12.6,"1,817,000","605,700","66,270",67,33,333,3.22,44,Lib,2
BBC,-13,-17,0,-50,-20,18.4,"1,580,000","527,300","201,100",31,69,151,1.96,65,Lib,3
New York Times,-17,-33,-40,-33,-30.8,8.6,"1,395,000","465,000","151,000",52,48,170,2.1,65,Lib,4
The Guardian,,-40,-40,-53,-44.4,6.3,"1,160,000","386,900","121,700",40,60,198,2.42,62,Lib,5
Fox News,43,70,40,20,43.3,17.8,"1,143,000","381,200","71,370",44,56,443,2.89,49,Cons,6
Daily Mail,13,70,80,,54.4,29.4,"1,068,000","356,100","93,410",44,56,273,9.9,56,Cons,7
Yahoo News,,-27,-40,-7,-24.4,13.7,"779,300","259,700","66,630",51,49,261,8.13,50,Lib,8
Yahoo Finance,,,0,,0,0,"764,900","254,900","47,970",74,26,460,10.41,41,Cons,9
Washington Post,-20,-40,-40,-37,-34.2,8.3,"708,600","236,200","90,700",46,54,193,2.25,58,Lib,10
cnbc,,-27,0,,-13.3,13.3,"584,800","194,900","72,750",42,58,183,2.67,58,Lib,11
Forbes,7,40,0,,15.6,17.5,"461,200","153,700","93,450",40,60,77,1.89,65,Cons,12
USA Today,-7,-17,0,-7,-7.5,6,"455,400","151,800","72,740",39,61,261,2.09,71,Lib,13
Business Insider,-3,-33,0,,-12.2,15,"453,600","151,200","89,850",40,60,100,2.58,70,Lib,14
New York Post,17,50,80,,48.9,25.9,"442,400","147,400","59,010",35,65,141,1.89,66,Cons,15
Marketwatch,,23,40,,31.7,8.3,"384,900","128,300","40,680",55,45,344,2.51,64,Cons,16
National Public Radio,-17,-20,0,-40,-19.2,14.2,"342,300","114,100","56,130",43,57,90,1.58,75,Lib,17
NBC,,-33,-40,-13,-28.9,11.3,"338,400","112,800","57,050",38,62,119,1.51,75,Lib,18
Bloomberg,7,-17,0,-7,-4.2,8.6,"320,600","106,800","46,900",50,50,548,3.29,65,Lib,19
The Independent,,-40,-40,,-40,0,"300,300","100,100","55,350",28,72,243,2.18,73,Lib,20
Huffington Post,-33,-67,-80,-40,-55,19.1,"280,000","93,360","34,360",44,56,169,2.07,60,Lib,21
Reuters,10,-7,0,,1.1,6.8,"253,600","84,540","40,930",46,54,209,1.89,70,Cons,22
The Telegraph - UK,,67,40,,53.3,13.3,"250,500","83,510","40,790",33,67,227,2.24,71,Cons,23
Wall Street Journal,17,43,0,-3,14.2,18.5,"250,300","83,440","37,050",56,44,166,1.89,70,Cons,24
The Hill,13,7,0,,6.7,5.4,"245,200","81,760","32,410",41,59,210,1.6,73,Cons,25
Politico,-17,-17,-40,-27,-25,9.6,"244,300","81,440","31,810",38,62,394,2.6,69,Lib,26
Drudge Report,,83,40,40,54.4,20.4,"221,800","73,940","4,463",61,39,18,11.47,46,Cons,27
LA Times,,-33,-40,,-36.7,3.3,"199,900","66,600","39,240",43,56,309,1.62,72,Lib,28
Breitbart,67,93,80,60,75,12.8,"188,000","62,690","7,000",38,62,291,2.57,50,Cons,29
The Atlantic,-20,-33,-40,,-31.1,8.3,"170,900","56,980","33,420",40,60,237,1.46,75,Lib,30
Univision,,,-40,,-40,0,"168,900","56,310","18,800",7,93,180,1.6,59,Lib,31
ABC,-7,-33,-40,-17,-24.2,13.2,"162,500","54,170","31,320",48,52,233,1.83,75,Lib,32
CBS,3,-27,-40,-13,-19.2,16.1,"162,200","54,090","35,050",44,56,417,2.55,74,Lib,33
Al Jazeera,-10,-27,-40,-43,-30,13.1,"160,000","53,340","28,760",34,66,117,1.69,67,Lib,34
Vox,-30,-67,-80,,-58.9,21.1,"155,500","51,860","31,400",41,59,122,1.46,73,Lib,35
The Verge,,-27,-40,,-33.3,6.7,"150,300","50,100","32,380",52,48,74,1.46,75,Lib,36
News Week,,-67,-80,,-73.3,6.7,"135,700","45,260","31,720",37,63,87,1.29,83,Lib,37
U.S. News & World Report,,-17,-40,,-28.3,11.7,"133,600","44,550","31,420",47,53,132,2.45,69,Lib,38
Vice,-33,-40,-80,,-51.1,20.6,"130,500","43,500","30,900",37,63,158,1.65,72,Lib,39
Financial Times,7,7,0,,4.4,3.1,"124,700","41,580","20,890",54,46,149,1.96,70,Cons,40
Zero Hedge,,100,,,100,0,"122,700","40,910","4,384",45,55,379,3.09,76,Cons,41
Daily Beast,-47,-67,-80,,-64.4,13.7,"116,000","38,700","20,800",35,65,103,1.9,70,Lib,42
SFGate,,-40,-40,,-40,0,"115,300","38,450","22,290",47,53,349,2.58,68,Lib,43
Time,,-50,-40,,-45,5,"109,700","36,600","27,700",41,59,125,1.59,80,Lib,44
Fox Business,,40,40,,40,0,"101,300","33,790","12,320",39,61,342,1.86,70,Cons,45
BuzzFeed,-27,-50,-80,-47,-50.8,19.1,"100,600","33,600","22,100",30,70,134,1.33,80,Lib,46
AP,-3,-10,0,,-4.4,4.2,"97,970","32,650","16,950",35,65,146,1.79,77,Lib,47
Snopes,,-10,0,,-5,5,"97,640","32,540","23,450",30,70,76,1.45,84,Lib,48
Bustle,,-43,-40,,-41.7,1.7,"96,720","32,240","25,280",29,71,81,1.33,80,Lib,49
Real Clear Politics,,33,0,,16.7,16.7,"93,320","31,100","11,330",35,65,803,3.88,58,Cons,50
Slate,-60,-67,-80,-63,-67.5,7.6,"91,000","30,300","14,300",39,61,286,1.96,61,Lib,51
Chron.com,,17,,,16.7,0,"85,990","28,660","21,530",65,35,143,4.94,83,Cons,52
Chicago Tribune,,17,0,,8.3,8.3,"83,670","27,890","14,760",39,61,559,1.99,69,Cons,53
MSNBC,-63,-67,-80,-27,-59.2,19.8,"77,700","25,900","9,840",45,55,281,2.1,64,Lib,54
New York Daily News,,-40,-80,,-60,20,"76,080","25,360","12,170",37,63,325,2.68,66,Lib,55
PBS,-3,-17,0,-33,-13.3,13.1,"74,420","24,800","14,960",59,41,156,2.44,62,Lib,56
KSL,,,80,,80,0,"69,620","23,200","4,040",40,60,424,4.89,41,Cons,57
Five Thirty Eight,,-17,0,,-8.3,8.3,"69,090","23,030","7,216",55,45,166,2.44,59,Lib,58
The New Yorker,,-67,-80,-53,-66.7,10.9,"69,000","23,000","13,000",52,48,129,1.69,72,Lib,59
Daily Wire,50,77,80,,68.9,13.4,"68,940","22,980","7,330",44,56,163,1.85,66,Cons,60
Washington Examiner,33,73,40,,48.9,17.5,"66,370","22,120","11,070",25,75,111,1.44,79,Cons,61
Raw Story,,-83,-80,,-81.7,1.7,"63,300","21,100","4,352",36,64,4206,4.29,49,Lib,62
The Gateway Pundit,,100,80,,90,10,"62,770","20,920","2,387",32,68,242,2.2,54,Cons,63
Daily Kos,-77,-93,-80,,-83.3,7.2,"60,350","20,100","5,200",44,56,344,2.65,49,Lib,64
New York Magazine,,-60,-80,,-70,10,"55,440","18,480","12,770",47,53,139,1.39,81,Lib,65
Elite Daily,,-50,,,-50,0,"55,330","18,440","12,160",19,81,281,1.36,78,Lib,66
Quartz,,-27,0,,-13.3,13.3,"52,440","17,480","13,480",40,60,93,1.31,84,Lib,67
Investor's Business Daily,,83,40,,61.7,21.7,"51,670","17,220","7,563",49,51,190,2.21,69,Cons,68
The Seattle Times,,-33,0,,-16.7,16.7,"49,350","16,450","6,763",47,53,204,2.28,64,Lib,69
San Jose Mercury News,,-33,-40,,-36.7,3.3,"48,460","16,150","9,746",41,59,97,1.8,66,Lib,70
atlanta journal constitution,,-27,-40,,-33.3,6.7,"47,030","15,670","7,266",42,58,354,2.53,66,Lib,71
Miami Herald,,-33,-40,,-36.7,3.3,"43,840","14,610","8,934",31,69,180,1.74,73,Lib,72
salon,,-73,-80,,-76.7,3.3,"43,490","14,490","8,250",30,70,87,1.47,77,Lib,73
Dallas News,,27,,,26.7,0,"42,390","14,130","7,661",26,74,108,1.43,79,Cons,74
The Boston Globe,,-27,-40,,-33.3,6.7,"41,530","13,840","6,762",50,50,539,2.41,65,Lib,75
The Economist,3,3,-40,-20,-13.3,18.1,"41,280","13,760","7,914",57,43,242,2.24,68,Lib,76
Science Daily,,0,0,,0,0,"39,310","13,100","9,405",45,55,202,1.45,83,Cons,77
